OTUid,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,75,76,77,78,79,8,80,81,82,83,84,85,86,87,88,89,9,90,91,92,93,94,95,96,BL_1,BL_2,BL_3,BL_4,BL_5,BL_6,MPC_01,MPC_02,MPC_03,MPC_04,MPC_05,MPC_06,MPC_07,MPC_08,MPC_09,MPC_10,MPC_11,MPC_12,MPC_13,MPC_14,MPC_15,MPC_16,MPC_17,MPC_18,PCN_1,PCN_2,PCN_3,PCN_4,PCN_5,PCN_6,PCN_7,PCN_8
ASV_1,8419,5179,10563,4429,8086,12736,7144,22620,12190,10052,15255,11312,14266,9910,16866,8030,2796,6582,11992,29439,15958,8752,10075,5813,5901,6099,21043,15051,8723,6499,15166,25637,8794,12035,5712,9453,8320,11163,5773,10864,13120,15273,19162,8496,10509,14051,8331,9030,12282,7824,21217,4094,7303,16307,10799,13616,4939,15747,11979,16399,31051,5981,8991,8789,15406,7277,7956,15586,35128,28367,12698,6415,12356,10285,25829,8860,3207,21738,1130,15948,14076,13670,26172,8417,16411,4916,15574,4608,8523,6549,7717,16049,8544,12638,1158,17062,3363,13950,1580,12217,1522,6459,3073,188,51,292,191,177,182,58,36,186,131,209,322,53,112,813,63,71,797,89,112,189,434,98,281,76
ASV_2,5414,2638,2925,10119,1666,1559,3055,3808,333,246,1529,9976,903,2793,3647,3992,1914,733,4066,2979,1651,1753,3638,4415,1869,3277,869,559,3019,9159,1245,567,4110,6333,1455,1313,2549,103,607,235,0,7969,6468,192,4614,24,38,279,39,1460,2575,1631,5617,5715,6486,6567,1780,3519,5112,7038,573,4458,132,1046,1146,2157,722,1876,6233,8974,2452,1494,4603,1172,4251,8118,11489,7997,8593,7490,4194,6793,11300,423,595,222,3792,613,4013,2078,3900,3895,4899,825,0,10465,347,2105,444,182,0,423,748,26,0,86,0,0,68,0,0,42,37,67,0,39,0,299,21,0,89,49,29,277,302,0,0,34
ASV_3,2404,3359,5703,1010,5307,5613,3503,10538,4301,4164,5439,2241,4305,5135,4782,3445,1476,2006,5832,10761,2954,6033,2169,2443,1052,496,4246,2251,1380,924,205,3352,10639,749,6599,5986,6034,2864,3400,4705,9341,463,4631,193,4121,7941,2966,3603,5925,900,4637,894,3536,1769,1457,650,1732,4625,2247,4576,6255,748,4339,3390,5833,511,3044,6447,823,3462,2261,513,144,1662,6385,296,368,3595,100,580,1918,1655,1675,3136,10543,1925,6246,1908,1552,3005,177,490,1024,525,185,1985,34,844,47,547,18,8,629,0,0,95,71,0,132,18,0,0,0,105,172,0,42,253,14,10,259,0,75,117,0,14,57,0
ASV_4,484,4688,8002,4371,1952,702,3675,112,6152,3931,0,1964,538,4225,6063,4699,3869,1680,4528,10946,4557,7363,1133,1601,2371,2100,197,2213,2667,6052,17,1171,5663,1390,5227,3300,4472,4771,3929,3405,2915,169,78,2004,6942,16,79,275,1441,604,544,1547,2614,1118,1624,796,2299,17149,4047,23,278,560,227,4307,5474,1799,197,5118,9269,10900,1705,259,3260,1825,1404,37,250,441,8,216,46,2617,5460,3183,104,2735,131,610,460,3139,580,222,4934,132,0,71,484,1789,39,544,250,47,488,61,0,38,31,36,24,0,0,50,0,28,51,17,26,154,0,0,95,0,24,17,39,0,68,5
ASV_5,4150,1735,1336,6682,918,650,1389,2043,112,66,850,8437,595,1660,2726,5932,2214,431,3224,2492,1251,1341,2162,4841,1100,1888,327,341,1985,6653,899,343,2791,3613,1064,872,1589,54,839,174,0,5233,4106,0,2802,0,0,303,0,911,1843,1284,4799,5090,4822,4563,1198,2585,3647,5821,370,8333,90,758,724,1522,553,1412,4038,5821,4092,2344,5516,1004,4909,5598,7175,4539,7262,5602,4778,6552,7247,211,171,0,1693,2365,3752,694,2741,1889,2257,430,0,3821,326,1467,168,0,0,0,602,83,0,65,59,0,0,0,0,113,34,0,163,0,12,235,0,0,0,26,0,0,232,0,0,0
ASV_6,51,10,79,2184,0,64,0,4328,35,36,1845,160,413,519,15,0,54,8,0,393,1361,32,0,6753,0,424,411,433,23,765,35,112,6540,0,2552,414,148,9,8880,11,25,92,253,14,51,0,930,16,0,78,687,0,9883,6581,3094,0,5297,35,17,2103,41,0,146,9217,0,28,28,24449,5,67177,2789,72,18,486,11560,11,2675,44,1133,19974,5,167,18,6,3,103,58,4,114,34,10,0,0,5606,5,21,1025,561,37,6,1542,398,167,7,0,22,18,33,9,9,0,43,13,19,142,4,13,45,14,9,0,64,18,31,163,0,12,16
ASV_7,623,6178,3479,2191,1585,1076,6119,3278,3569,1594,449,2313,895,2601,9189,1714,1096,1003,979,4401,2099,3603,1447,477,673,1218,945,773,708,1422,1859,242,1025,1707,2352,1307,2132,1266,1307,1420,277,332,264,2127,2841,1886,1801,2784,2268,3297,2688,2380,1639,428,526,695,910,3554,2039,879,1947,782,1191,1008,3553,4098,464,2254,1702,27596,7644,110,5035,1516,1937,184,699,1002,343,582,918,2369,2615,2088,1997,2181,84,952,302,1836,639,966,953,308,1395,1136,61,0,75,809,0,0,624,34,0,43,0,38,39,15,5,0,53,0,80,0,0,120,0,0,52,41,29,32,38,17,26,0
ASV_8,731,1243,917,184,905,444,4165,1192,755,1342,474,2251,311,1198,2003,811,698,271,186,685,290,1294,1046,52,597,256,1258,708,1103,3192,5531,492,196,570,560,1701,1731,4602,2699,1784,1057,217,1887,5018,908,717,212,981,1221,3055,1397,360,218,254,390,1349,194,8004,4616,255,7139,2784,1899,172,1992,1703,1255,218,449,6385,7668,206,8673,2894,3104,251,278,1450,158,156,539,624,1056,2379,1179,1996,467,1587,406,1995,5515,9594,9043,5875,4765,2854,356,511,46,4871,670,110,405,40,8,26,29,0,21,27,0,8,31,13,45,0,0,206,22,0,65,20,18,23,20,5,19,11
ASV_9,605,1494,4997,364,1257,2030,0,2334,1074,0,2411,261,5393,940,1225,0,1539,1931,1973,9466,1413,0,1490,1506,637,1258,8903,6239,1909,1435,10453,4937,1766,572,1992,1230,996,4596,206,675,3702,0,361,1111,688,0,153,1467,554,601,4235,307,802,1679,1039,871,1048,4487,958,2052,11937,1302,1072,2556,2071,5007,233,2074,472,8053,1206,305,457,1443,2540,357,0,601,0,0,2305,1898,6502,896,546,1051,760,225,1195,0,0,0,4729,236,552,0,180,31,0,0,20,0,462,80,0,0,0,46,0,0,6,48,54,0,26,18,0,0,20,0,0,0,0,0,127,0,110,20
ASV_10,264,2201,3649,390,4143,117,5284,508,3570,5256,124,1003,548,3748,10377,1882,1223,863,433,4375,3614,1125,1069,50,881,248,279,904,1388,880,102,424,489,2253,1701,1229,725,3569,6723,1341,912,186,403,6900,3168,338,178,649,4233,1895,3466,596,767,160,641,934,2111,3746,139,12,26,0,66,2247,7136,1894,1344,994,1736,6858,3150,27,1168,539,2425,0,138,2111,0,1231,705,2175,2272,492,47,2125,0,234,221,1449,2083,1689,927,3673,222,534,463,429,83,98,0,101,428,27,0,33,0,28,28,10,0,8,30,13,38,8,26,81,9,0,49,5,15,51,19,0,15,0
