Mean_R1,sample_num_R1,Mean_R2,sample_num_R2,quant_reading,sample,Sample_or_Control
11,40,4.6,40,7.8,Sample_40,True Sample
12.6,54,5.7,54,9.15,Sample_54,True Sample
11.8,73,5.5,73,8.65,Sample_73,True Sample
18.3,1,3.6,1,10.95,Sample_1,True Sample
12.7,21,2.7,21,7.7,Sample_21,True Sample
13.6,41,16.8,41,15.2,Sample_41,True Sample
12.3,76,7.2,76,9.75,Sample_76,True Sample
11.4,87,10.5,87,10.95,Sample_87,True Sample
14,85,12.4,85,13.2,Sample_85,True Sample
11.1,18,12.4,18,11.75,Sample_18,True Sample
14.1,25,10,25,12.05,Sample_25,True Sample
12.4,94,12.6,94,12.5,Sample_94,True Sample
NA,BL-1,0.1,BL_1,0.1,Sample_BL_1,Control Sample
NA,BL-2,0.1,BL_2,0.1,Sample_BL_2,Control Sample
NA,PCN-1,#DIV/0!,PCN_1,0.05,Sample_PCN_1,Control Sample
9.5,14,9.9,14,9.7,Sample_14,True Sample
NA,PCN-3,#DIV/0!,PCN_3,0.05,Sample_PCN_3,Control Sample
12.1,3,7.2,3,9.65,Sample_3,True Sample
13,50,9,50,11,Sample_50,True Sample
12.2,45,10.1,45,11.15,Sample_45,True Sample
13.3,31,11.3,31,12.3,Sample_31,True Sample
16.6,79,14.5,79,15.55,Sample_79,True Sample
9.8,49,10.5,49,10.15,Sample_49,True Sample
11.3,71,12.9,71,12.1,Sample_71,True Sample
11.6,23,11.9,23,11.75,Sample_23,True Sample
11,96,6.8,96,8.9,Sample_96,True Sample
18.2,47,11.9,47,15.05,Sample_47,True Sample
10.5,29,8.9,29,9.7,Sample_29,True Sample
10.9,34,10.3,34,10.6,Sample_34,True Sample
12.3,91,5.8,91,9.05,Sample_91,True Sample
10.7,43,5.6,43,8.15,Sample_43,True Sample
11.2,46,8.6,46,9.9,Sample_46,True Sample
11.9,81,4.3,81,8.1,Sample_81,True Sample
13.9,42,4,42,8.95,Sample_42,True Sample
NA,BL-6,#DIV/0!,BL_6,0.05,Sample_BL_6,Control Sample
11,55,4.9,55,7.95,Sample_55,True Sample
11.6,33,9.3,33,10.45,Sample_33,True Sample
NA,PCN-2,#DIV/0!,PCN_2,0.05,Sample_PCN_2,Control Sample
9.8,72,7.6,72,8.7,Sample_72,True Sample
12.8,2,10.5,2,11.65,Sample_2,True Sample
12.4,63,12.8,63,12.6,Sample_63,True Sample
12.3,37,10.8,37,11.55,Sample_37,True Sample
12.3,52,11.4,52,11.85,Sample_52,True Sample
11.2,15,15.8,15,13.5,Sample_15,True Sample
10.1,65,13.6,65,11.85,Sample_65,True Sample
7.2,10,7.1,10,7.15,Sample_10,True Sample
8.9,86,9.5,86,9.2,Sample_86,True Sample
8.8,83,7,83,7.9,Sample_83,True Sample
9.5,13,11.2,13,10.35,Sample_13,True Sample
12.1,66,3.5,66,7.8,Sample_66,True Sample
10.6,32,5.9,32,8.25,Sample_32,True Sample
10.9,7,6.3,7,8.6,Sample_7,True Sample
NA,PCN-4,#DIV/0!,PCN_4,0.05,Sample_PCN_4,Control Sample
11,89,8.4,89,9.7,Sample_89,True Sample
9,60,8.7,60,8.85,Sample_60,True Sample
10.6,51,7.7,51,9.15,Sample_51,True Sample
11.7,24,12.6,24,12.15,Sample_24,True Sample
14.2,30,15.5,30,14.85,Sample_30,True Sample
11.3,19,16.1,19,13.7,Sample_19,True Sample
10.1,69,14.4,69,12.25,Sample_69,True Sample
12.4,26,16.4,26,14.4,Sample_26,True Sample
12.3,4,14.7,4,13.5,Sample_4,True Sample
#DIV/0!,BL-5,#DIV/0!,BL_5,0.05,Sample_BL_5,Control Sample
9.4,11,13.6,11,11.5,Sample_11,True Sample
10.6,28,15.2,28,12.9,Sample_28,True Sample
12.9,58,18.2,58,15.55,Sample_58,True Sample
10.9,48,16.2,48,13.55,Sample_48,True Sample
