OTUid,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,75,76,77,78,79,8,80,81,82,83,84,85,86,87,88,89,9,90,91,92,93,94,95,96,BL_1,BL_2,BL_3,BL_4,BL_5,BL_6,MPC_01,MPC_02,MPC_03,MPC_04,MPC_05,MPC_06,MPC_07,MPC_08,MPC_09,MPC_10,MPC_11,MPC_12,MPC_13,MPC_14,MPC_15,MPC_16,MPC_17,MPC_18,PCN_1,PCN_2,PCN_3,PCN_4,PCN_5,PCN_6,PCN_7,PCN_8
ASV_1,3004,446,10283,577,8340,14257,3028,13555,5223,3369,3727,8480,8774,2178,4638,828,835,13759,8733,6438,4122,1467,2068,4623,6304,7073,5904,8273,3198,13916,7608,4141,15761,3506,1284,4740,466,3578,2706,9760,320,11608,8265,5392,4006,9917,3771,12866,13472,9278,7538,928,5891,13378,4570,4173,6272,7026,19426,9018,2321,9095,2541,4924,8862,1454,3902,10744,25735,671,9322,1865,14142,9618,20161,169,1073,2906,70,14241,1783,8032,15823,3190,9962,2275,6097,3754,9496,2562,8985,13412,13130,28462,14373,17069,324,228,98,112,170,48,1302,160,91,108,116,142,68,101,0,136,226,44,96,88,84,825,33,68,613,144,80,93,310,124,141,75
ASV_2,3084,1812,4790,2236,4119,15658,3527,2960,5191,2954,15253,6106,11890,4310,5549,2239,7328,13381,13618,9405,9793,2550,7261,7822,3960,5221,8219,9228,3859,3446,1508,12152,8017,13772,3099,6498,3709,5038,9421,6249,2103,12585,12298,3081,6074,14236,7185,8170,7177,4095,12345,6076,8850,11560,5817,11591,4043,4653,9443,10358,7084,2978,3023,3934,5161,4254,5075,6731,8989,2190,7314,384,4147,7167,2016,4095,2985,9854,2237,5863,3321,4902,8053,2326,8240,1503,5863,2427,7040,2266,10609,13217,8955,8905,2662,3560,121,406,62,101,62,32,1263,132,34,77,105,122,58,23,30,102,57,63,55,87,74,587,11,38,621,73,58,92,686,46,69,42
ASV_3,4213,1551,3648,14822,1523,1620,3905,2314,525,296,1620,9690,1865,2785,2629,7229,2840,4761,8549,2281,1344,1864,7771,13017,2273,5437,527,634,4674,11124,788,231,4890,12489,2510,914,4350,139,542,198,66,14717,10154,232,11816,116,38,439,76,1302,2025,1739,8592,11070,10937,9758,2683,1959,7137,5954,226,7829,155,2272,1388,8129,823,3811,6685,3822,3457,1326,9666,1148,4052,12681,24529,12570,16597,10847,6354,9004,13916,429,352,311,5063,1023,7426,2536,5599,9125,5500,1395,91,18500,56,183,24,85,0,28,755,68,41,88,56,59,0,0,49,0,0,61,0,39,97,742,50,22,183,46,0,71,530,46,0,93
ASV_4,3080,981,1792,9305,820,694,1669,1230,294,193,867,7638,956,1432,1839,10040,3115,3174,6523,1933,1049,1396,4512,14288,1314,2888,209,364,3036,7682,497,74,3305,6774,1738,422,2660,0,665,0,0,8638,6529,78,7014,0,0,380,0,745,1321,1306,7000,9497,7843,6323,1791,1564,5037,4502,121,13220,180,1712,794,5504,613,2503,4464,2616,6055,1906,11658,847,4279,8777,14638,6863,13527,8185,6813,8138,8819,198,74,103,2474,3574,6196,909,3654,4505,2307,643,0,6524,75,228,61,18,71,29,381,31,0,0,23,0,0,0,0,48,65,0,55,0,0,458,0,0,82,52,0,0,394,0,58,0
ASV_5,208,5942,5645,2571,2224,1524,8725,3169,6765,2708,655,1509,2742,2494,8775,3263,2348,3775,2117,5772,3047,7874,2834,2049,1080,1871,867,959,1019,1578,1761,233,2366,3617,4275,1694,6765,1737,2231,1884,422,657,301,5766,6466,3060,1448,4900,2957,4361,2667,5734,2680,735,811,746,996,3297,1947,877,1316,970,1251,3713,7560,15048,480,9826,3056,19397,9273,288,9560,1846,1809,448,1496,1714,1029,1255,1862,2530,4245,2885,2194,4854,220,1172,555,3826,1267,3287,2021,1400,13780,2773,66,0,82,31,14,0,759,47,11,33,10,37,12,63,14,37,34,19,49,13,62,206,16,16,173,126,32,21,141,19,36,15
ASV_6,416,2853,2752,381,2785,820,1956,2735,6626,3141,5783,1087,14526,4026,3893,1249,3995,12898,1176,9201,5376,2799,1782,927,3959,848,2322,2413,1185,665,4524,4033,1426,2746,2622,3982,3616,6735,2399,1075,4698,395,580,6756,3653,1911,1830,3755,4993,2555,2880,1443,496,699,771,1968,1555,4138,3242,742,4566,574,1687,6359,8182,2743,2946,4123,1739,4595,4017,148,4943,2204,3573,464,326,3243,59,616,2242,447,1787,4997,2512,2537,892,2991,832,3412,2749,10551,1305,2369,2834,561,0,72,67,24,0,0,710,101,0,32,111,40,15,10,0,0,59,34,35,24,28,307,0,17,154,63,17,36,174,10,63,0
ASV_7,245,2320,4736,626,7132,308,7972,700,6309,10521,303,762,1975,4232,9069,3542,2147,3424,1107,5225,4308,2144,2029,508,1466,479,371,1197,1953,981,150,387,1248,4871,3681,2101,2211,4841,10452,2258,1424,334,497,15636,6826,707,150,1268,6010,2452,3116,1533,1295,329,880,879,2783,2704,160,34,53,35,102,8208,13383,6905,1888,5146,2687,5393,4108,73,2699,805,2224,0,483,3162,71,1925,1550,2825,3479,776,45,4274,18,346,502,2713,3110,4914,1984,11207,3899,1637,116,57,89,57,0,19,507,54,8,26,28,65,0,27,10,31,35,21,23,13,41,226,0,12,76,47,0,19,58,7,42,15
ASV_8,309,3173,5379,756,2434,467,1749,724,5056,3951,1593,657,2301,6592,7328,961,3420,2315,560,3858,5328,5426,986,669,1710,719,1514,1401,682,1376,971,1205,710,1742,1534,4143,3757,1968,1271,742,3385,403,382,5332,3182,1569,543,2841,4305,3557,1745,2891,3141,405,960,632,3120,9350,2732,323,1358,735,2378,3286,3028,2433,1420,1523,1059,6454,3711,173,2039,1588,6183,302,578,1283,108,370,695,1760,3482,7077,1176,4397,413,1741,507,6536,1062,2818,2513,658,2335,596,89,0,63,0,0,16,893,34,8,0,28,72,0,18,0,40,49,28,0,0,43,199,0,0,129,67,7,15,153,17,21,15
ASV_9,325,775,2537,939,2156,5035,2705,12774,2002,1117,2191,1486,3609,865,1985,351,919,2132,1016,4471,2154,2241,831,2704,1161,4225,2016,933,4780,16738,6623,1676,11666,1380,954,1806,2369,1084,1286,1122,348,208,497,628,1671,402,358,764,393,645,1238,269,428,181,529,1126,543,604,1056,2715,694,141,292,407,592,813,1169,580,770,400,1894,8805,9333,1283,3631,7301,248,3424,85,920,412,468,496,876,487,617,823,369,973,615,3594,3091,4201,2201,1823,1071,87,13,21,44,0,0,247,34,0,14,24,40,8,4,0,0,21,0,69,19,32,567,0,11,86,7,15,0,116,16,14,0
ASV_10,1428,74,700,279,294,2320,115,2486,454,227,5277,733,12453,664,736,188,372,2000,1197,1810,1114,216,535,461,1122,1072,10708,5013,1415,85,8787,4507,1777,1106,404,721,308,258,101,1380,989,4986,4209,113,1287,3797,2649,4755,2179,560,5484,751,933,1862,661,1084,498,915,2565,2829,4496,871,6694,1483,2584,917,1712,5006,2769,268,383,145,467,918,1548,287,484,2891,38,1816,6600,1030,3679,458,5147,349,6921,947,4288,52,95,194,205,687,221,148,13,24,26,0,0,0,511,26,38,0,0,47,13,0,17,33,0,0,69,33,0,152,0,0,144,20,30,17,197,0,32,0
