OTUid	1	10	11	12	13	14	15	16	17	18	19	2	20	21	22	23	24	25	26	27	28	29	3	30	31	32	33	34	35	36	37	38	39	4	40	41	42	43	44	45	46	47	48	49	5	50	51	52	53	54	55	56	57	58	59	6	60	61	62	63	64	65	66	67	68	69	7	70	71	72	73	74	75	76	77	78	79	8	80	81	82	83	84	85	86	87	88	89	9	90	91	92	93	94	95	96	BL_1	BL_2	BL_3	BL_4	BL_5	BL_6	MPC_01	MPC_02	MPC_03	MPC_04	MPC_05	MPC_06	MPC_07	MPC_08	MPC_09	MPC_10	MPC_11	MPC_12	MPC_13	MPC_14	MPC_15	MPC_16	MPC_17	MPC_18	PCN_1	PCN_2	PCN_3	PCN_4	PCN_5	PCN_6	PCN_7	PCN_8
ASV1	1602	1965	3969	1152	3309	5803	3523	10013	8869	2013	5326	3186	3974	10639	10102	1083	3311	4344	3117	9394	9487	3623	3883	1399	7778	4594	7605	21155	4049	8891	6083	7237	3583	5179	1770	3952	1252	3260	1622	2419	6111	2060	3928	5104	1720	14890	12735	6776	6904	2659	3112	1525	3633	2418	1641	3604	4051	4595	3123	2686	3959	477	6608	987	837	556	6305	748	1354	882	2097	2942	1653	2310	4524	2771	424	4667	195	1495	145	1419	3102	10181	8798	3009	3099	4409	1080	7912	9292	6881	4074	1972	462	1197	180	0	0	27	30	43	780	109	0	0	40	97	62	16	0	0	44	0	43	47	33	198	0	34	249	9	49	24	103	45	55	33
ASV2	1817	1375	2680	1116	3125	4382	1932	1010	6369	1588	1361	1248	1066	1687	933	2186	6290	1405	1142	1848	618	1614	1157	517	3219	1151	546	3868	1194	3414	311	4195	196	1447	734	1219	4380	3218	1046	2513	3683	1689	3854	3909	1599	1962	986	1090	2061	7708	2843	2194	2099	4631	5098	1745	2987	6427	6004	2449	4214	1410	985	2102	4732	4224	723	4147	3298	2697	3772	1161	2002	2951	2473	1776	564	3188	158	2010	2376	2204	7079	600	1678	846	1971	3211	2283	2768	5394	7015	12837	3787	6175	10416	72	157	33	87	24	108	566	71	0	33	16	33	0	40	0	30	32	0	38	26	29	137	13	0	88	48	29	33	65	34	13	72
ASV3	3772	1592	8884	788	4892	2125	1375	8117	4030	2085	1135	7725	4642	7848	2534	2092	985	6777	1621	7857	2384	881	7815	551	1040	3313	131	962	921	20386	12980	1382	4247	8256	7227	6044	4799	2175	4711	5896	242	573	1034	70	9842	163	226	984	479	757	512	379	1945	835	1128	4026	3851	12520	1577	42	100	327	113	831	2527	1993	1591	3355	2409	6779	524	113	0	3473	2730	265	113	4320	13	3790	38	2706	1873	150	34	207	82	190	1330	14	569	174	935	509	1748	208	38	43	31	7	0	0	501	22	0	0	16	73	10	12	9	34	34	0	50	13	9	157	8	22	82	8	14	23	34	19	10	28
ASV4	1577	638	881	254	1370	863	760	3765	3685	830	3415	946	10154	5250	2851	493	1272	2889	661	5369	3981	1258	880	290	6915	1021	13149	17926	1584	545	13291	5498	559	1532	957	2481	419	1893	198	847	4889	2049	1701	2928	768	6481	6941	5380	4666	1027	3251	432	602	789	649	1416	1556	2984	2263	990	9689	526	18257	1019	1024	264	4425	1353	978	396	1006	174	783	1548	2865	462	159	2959	0	1371	761	670	1564	5296	8706	1158	4200	5428	1134	2202	1696	4284	556	664	169	189	0	0	46	31	12	0	778	0	19	46	0	0	0	0	0	0	0	17	0	0	0	79	0	0	98	0	0	40	0	0	22	0
ASV5	115	0	1453	0	1519	212	1325	4660	2564	1600	1645	432	201	5201	2350	256	168	1732	631	6277	2493	869	1574	0	2001	396	4369	10514	1069	420	690	1603	583	795	526	3315	179	2869	804	1368	8799	0	176	2812	0	4030	2158	2497	1428	565	868	75	229	399	105	342	861	1123	0	83	816	76	3066	2166	721	206	2931	469	98	171	365	246	285	726	2971	0	0	1055	0	170	0	232	809	3186	2710	922	439	368	0	2777	664	1711	805	1133	774	568	72	0	0	0	0	28	310	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0
ASV6	1666	47	1256	761	1000	2560	743	843	2212	820	1264	1598	446	916	604	183	96	631	2978	1957	1231	478	3198	1399	1441	1145	841	2152	1176	1514	65	951	684	2233	211	503	85	1190	1038	640	164	1306	2575	294	627	1126	1515	758	874	601	2428	188	1823	2945	2842	2970	1545	805	925	1513	130	994	265	819	626	670	872	1892	4200	653	1053	696	688	1448	789	576	293	3621	0	2038	459	1500	3923	121	4872	106	2836	423	1421	158	3322	5031	3189	2990	0	3001	63	89	23	22	0	9	268	26	0	9	13	13	0	0	0	0	14	0	11	0	11	127	0	0	77	0	11	11	0	22	14	22
ASV7	482	802	1557	434	1133	687	1380	2812	2488	1780	1590	578	496	3019	2692	1738	810	2296	593	3673	793	4791	1215	552	1441	947	1702	6347	685	697	1376	593	1276	641	707	1781	687	2591	950	1390	5724	281	835	1856	1240	1512	1074	993	897	1409	797	238	730	781	369	580	1588	3138	1792	653	1704	948	5408	2368	1641	1441	590	962	346	540	1091	489	1214	1270	2013	534	271	753	82	303	254	419	922	1779	1486	1475	552	2261	280	1636	723	594	877	826	1269	378	0	0	33	15	0	0	310	0	0	0	0	19	0	0	0	0	0	0	14	0	0	33	0	30	41	0	0	0	22	0	0	0
ASV8	433	1084	1322	213	2478	506	1603	1013	1704	1898	810	1273	278	2820	1365	548	570	1614	954	5251	1157	2090	3977	81	1123	401	485	3227	450	860	483	714	157	2651	620	1203	337	1992	1033	976	2374	87	227	3161	1575	1780	698	2015	1743	1275	876	311	287	149	275	1085	665	1355	163	146	519	95	1064	2917	2488	2134	1085	835	864	1340	1385	554	2123	1517	1387	110	103	2015	21	268	121	613	1675	1466	2439	2071	1726	976	282	3039	1106	2938	1225	797	3095	625	50	0	0	22	11	26	300	7	0	8	0	16	0	26	0	9	15	0	12	0	5	86	0	9	96	0	0	17	18	0	31	0
ASV9	383	197	1729	50	1214	1022	872	6107	2211	1097	2219	712	455	1897	1214	300	143	956	970	2959	963	555	2349	318	1740	805	2809	6099	1073	373	1762	1323	1126	1122	480	2072	235	1704	1348	2393	3650	363	903	357	391	2767	1015	1483	917	898	1094	160	559	829	576	577	1368	2052	852	389	1343	649	2417	1899	1138	480	1882	1443	406	365	667	957	648	1303	2189	263	187	1961	0	270	327	733	1400	817	2170	367	1425	1434	290	435	344	389	498	602	1099	579	55	0	0	0	0	0	234	0	0	28	0	0	0	15	0	0	34	0	0	0	0	29	0	0	102	0	31	57	0	42	41	34
ASV10	1007	448	1801	567	574	1843	1325	1245	666	4473	894	1459	1072	2833	309	80	206	519	1094	2474	822	206	2045	515	471	1114	1453	1041	454	1657	769	896	346	1167	795	496	81	821	924	555	536	1275	1939	119	2042	152	346	674	306	711	739	233	665	972	1768	1773	2841	1132	566	957	400	1027	337	1302	1177	665	383	1760	1630	961	721	1024	685	2387	1358	1170	201	2090	67	630	194	499	2489	303	5799	458	3719	993	658	118	1735	1562	2702	1480	110	2736	30	42	0	4	0	33	191	23	6	8	6	26	0	0	0	0	9	20	9	0	12	37	0	6	21	10	0	22	20	0	0	14
ASV11	1037	1749	1144	1049	1030	943	1139	1002	1553	729	515	1187	1038	902	1691	1984	1307	614	740	2020	1028	1373	1024	649	651	940	591	1311	346	1178	2027	517	1801	1233	1516	558	1294	1442	857	855	742	1061	1117	2301	1925	1361	481	1574	1018	856	714	882	1356	820	455	1311	1250	1617	1012	522	483	693	366	1112	1286	1587	973	929	928	1984	2551	681	1477	859	1375	1358	992	1166	569	1056	1670	1099	1240	946	645	1237	456	1046	1069	1647	510	697	514	277	2293	366	0	33	0	66	23	0	308	0	0	0	0	24	0	0	0	15	35	0	74	0	0	0	0	20	0	0	53	0	0	52	0	0
ASV12	315	1087	1316	91	1164	463	1231	966	1983	1447	1000	1415	685	1027	1442	598	357	1190	1194	1972	1434	1679	2405	363	938	786	447	2451	619	1211	570	535	1111	1457	878	1004	548	1633	929	1850	1682	203	283	1260	1491	1916	1326	1038	1920	547	1181	308	713	536	241	1155	825	1190	512	209	385	105	317	2109	1219	1103	2568	864	979	1377	1272	118	924	1300	1246	0	114	1733	0	729	0	469	1249	701	2467	474	366	619	376	1791	838	1294	648	463	488	266	0	0	0	0	0	0	198	88	26	0	0	0	32	21	0	0	0	0	0	40	0	180	0	0	168	0	0	0	0	0	24	0
ASV13	1216	1766	782	968	794	425	2034	35	1508	248	38	2073	239	671	240	1451	1203	231	682	1211	255	743	5376	360	301	576	0	100	149	1940	359	0	18	2196	725	107	937	885	308	146	0	296	257	2418	1741	398	74	189	567	993	850	2107	735	179	423	1387	354	646	779	133	87	403	33	568	1547	5983	206	2962	2074	5954	1623	421	1638	673	395	893	421	1198	0	1127	613	671	2114	85	138	460	243	1009	903	520	1340	2725	2584	578	283	859	0	0	0	0	0	0	147	27	18	0	0	24	0	0	0	0	0	0	37	0	0	47	0	0	61	11	0	0	0	7	0	20
ASV14	3511	327	506	1719	451	1156	1231	456	1882	210	333	959	1583	1224	770	397	276	179	630	397	65	1101	268	1678	1741	1669	143	1256	1014	641	3041	234	444	656	559	605	577	751	211	1477	601	7064	3882	505	399	145	208	284	504	1305	729	1699	1953	1234	768	866	3136	925	438	559	917	915	156	118	222	658	78	285	299	215	445	260	431	247	198	4311	1017	933	1627	573	719	1895	1142	533	194	1064	277	909	1193	554	349	211	435	276	67	607	20	28	0	0	0	0	180	9	0	16	6	24	0	0	2	6	7	0	2	7	0	14	0	0	30	6	4	0	44	11	5	0
ASV15	200	68	65	58	47	105	134	291	176	147	95	82	232	173	186	116	120	111	219	300	63	234	89	65	56	55	79	479	41	58	126	119	63	70	105	183	78	397	177	132	587	83	135	213	56	230	109	255	117	104	55	163	67	74	45	66	69	99	122	64	273	90	137	220	120	104	154	100	155	75	274	120	77	361	360	60	73	185	64	263	175	90	137	118	332	316	120	103	139	182	93	129	93	124	99	122	13082	11596	17738	10234	280	18561	28	0	0	34	0	0	0	30	0	0	10	0	0	0	0	122	8	0	0	4	0	0	0	13	0	0
ASV16	1089	19	145	224	191	1218	42	129	320	54	798	315	169	176	62	99	37	51	254	237	26	16	359	314	407	241	1493	1480	285	478	316	3581	134	247	143	755	0	779	4777	1327	196	950	2803	45	109	320	343	79	79	158	2648	48	234	2130	1942	451	332	211	5067	9733	1166	1054	656	117	60	74	112	337	1795	165	311	264	259	1970	620	2215	165	870	67	1093	154	684	397	14	921	128	7613	611	890	29	319	214	755	1116	11	4860	13	31	17	10	0	0	184	0	0	6	6	24	28	0	0	27	32	14	0	9	0	14	0	0	14	0	5	10	28	0	0	22
ASV17	212	39	1953	29	872	120	678	715	1536	3804	1126	747	180	2082	678	105	122	1720	1432	5151	4184	1831	1799	208	1196	489	268	5695	315	536	0	1297	463	1153	252	1231	30	820	799	553	1356	0	140	636	372	1597	839	1508	1268	224	586	0	277	475	310	969	747	575	90	135	0	0	109	884	793	346	599	771	327	307	616	28	454	3981	346	0	0	773	0	282	0	113	717	234	2616	303	1269	445	99	531	652	1382	1211	609	0	395	0	47	0	0	0	0	221	0	0	0	0	0	0	0	0	0	11	0	0	0	0	41	0	0	65	0	0	19	0	0	22	0
ASV18	98	750	1728	69	1985	74	1740	459	1088	2599	251	560	156	1228	902	316	190	858	391	1936	1387	1342	1016	48	625	244	117	584	73	440	83	587	280	1624	424	816	231	1286	946	732	1062	7	62	1103	1016	729	370	632	3099	290	473	224	341	81	118	379	1166	2278	250	62	152	74	130	796	1937	1412	1035	833	514	1620	1658	98	969	1546	691	19	54	493	0	227	30	241	1499	219	757	277	203	469	80	1194	453	685	617	233	71	146	0	11	0	0	0	0	113	0	0	0	0	18	0	0	0	0	0	5	8	0	0	28	0	0	26	0	9	10	0	0	10	0
ASV19	750	0	348	223	363	1012	28	285	763	280	1123	368	199	315	79	56	42	181	1376	1020	387	56	984	650	817	503	1350	1910	505	397	33	2785	443	660	106	468	0	292	252	553	225	378	1996	94	52	1273	1057	407	252	181	1352	0	489	2608	1271	1447	364	270	587	2979	336	277	337	238	119	50	311	558	939	72	148	195	24	579	218	114	144	1933	45	413	74	382	849	43	4201	69	5113	638	284	70	641	908	1069	1368	0	1019	26	47	0	43	0	0	112	0	0	0	11	0	0	0	0	0	0	0	0	25	0	24	0	0	40	0	0	0	32	0	0	0
ASV20	1054	259	295	127	102	1363	0	616	672	0	421	703	1181	684	993	347	948	1188	561	569	1391	335	302	176	0	1097	744	1514	376	0	422	0	0	1439	0	176	97	0	0	299	0	3316	2064	618	249	252	887	316	0	426	1832	1139	1699	1682	1195	1886	833	1036	863	1066	1741	388	570	245	314	126	497	401	589	105	879	0	526	1012	273	1238	344	1657	65	1113	220	1215	698	0	0	0	274	456	969	120	695	0	358	0	0	0	0	46	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV21	1132	1119	610	1004	355	1107	588	635	960	0	336	1723	335	221	620	644	367	0	837	323	0	535	727	1007	81	722	0	0	500	1601	424	0	1087	954	1213	147	512	770	551	444	0	1464	1148	288	449	0	0	0	0	345	795	204	1094	726	232	1215	620	668	912	259	277	491	0	381	810	1049	121	768	894	1961	1170	439	2184	360	686	464	231	1241	0	1501	394	637	1598	69	0	498	0	1058	994	349	652	726	1139	302	379	516	0	0	0	0	0	0	73	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV22	474	542	861	946	555	667	584	515	847	779	323	782	599	812	968	806	993	501	514	1945	435	707	846	578	384	379	0	297	271	569	448	428	461	810	674	548	435	932	840	602	1167	724	729	782	542	209	177	627	383	512	441	751	952	374	469	685	742	813	1222	338	489	543	0	711	405	498	0	358	842	682	702	703	722	497	549	1762	551	838	351	611	952	902	700	658	118	602	153	378	1195	658	491	356	334	130	89	234	0	0	0	0	0	0	112	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
ASV23	0	395	1326	78	1083	0	2067	1180	2205	805	340	266	0	1361	1912	676	158	2115	0	1361	748	836	498	0	922	761	572	1019	759	0	365	342	128	329	762	1214	354	133	104	1007	982	0	0	851	747	446	297	684	747	1073	316	68	400	0	0	63	695	1084	715	0	83	0	508	1521	1120	480	843	825	142	1143	1371	155	1718	992	1474	0	0	426	0	132	0	129	512	710	183	1634	0	725	0	260	0	0	0	79	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	35	0	0	0	0	0	0
ASV24	47	83	988	0	947	78	1257	190	1047	1946	243	131	81	2730	667	110	166	1048	109	7611	899	819	546	0	1376	47	176	3898	100	142	0	0	83	116	250	838	86	475	261	220	5053	24	44	2462	28	1557	380	2012	1951	236	37	20	0	0	0	27	0	170	29	0	21	0	100	552	142	0	265	69	0	44	146	0	343	228	372	0	36	243	0	0	0	0	0	1601	858	738	28	361	0	2155	278	218	20	197	30	43	0	0	0	0	0	0	108	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	42	0
ASV25	176	1519	695	487	384	174	2268	744	1218	421	45	569	196	906	2294	751	174	393	180	1347	521	1434	490	182	324	441	119	644	219	471	465	46	231	784	537	319	452	245	152	281	90	228	131	1893	682	735	469	919	659	678	243	474	390	157	211	194	265	540	215	321	612	252	200	305	333	583	132	456	294	1063	896	92	619	273	238	173	128	334	60	425	122	560	605	670	559	1030	75	334	68	1527	329	470	290	207	981	760	7	0	0	0	0	0	65	8	0	10	0	9	0	0	0	0	0	0	0	0	0	0	0	0	13	9	7	0	11	0	6	0
