Mean_R1,sample_num_R1,Mean_R2,sample_num_R2,quant_reading,sample,Sample_or_Control
11,40,8.4,40,9.7,Sample_40,True Sample
6.1,54,4.7,54,5.4,Sample_54,True Sample
4.4,73,10.5,73,7.45,Sample_73,True Sample
5.1,1,14.2,1,9.65,Sample_1,True Sample
15.1,21,7.7,21,11.4,Sample_21,True Sample
14.5,41,NA,41,14.5,Sample_41,True Sample
4.5,76,12.5,76,8.5,Sample_76,True Sample
14,87,NA,87,14,Sample_87,True Sample
7.1,85,3.2,85,5.15,Sample_85,True Sample
8.6,18,10.8,18,9.7,Sample_18,True Sample
6.5,25,12.7,25,9.6,Sample_25,True Sample
8.5,94,3.5,94,6,Sample_94,True Sample
0.3,BL_1,NA,BL_1,0.3,Sample_BL_1,Control Sample
0.7,BL_2,NA,BL_2,0.7,Sample_BL_2,Control Sample
#DIV/0!,PCN_1,#DIV/0!,PCN_1,0.05,Sample_PCN_1,Control Sample
13.4,14,8.7,14,11.05,Sample_14,True Sample
#DIV/0!,PCN_3,#DIV/0!,PCN_3,0.05,Sample_PCN_3,Control Sample
12.8,3,12,3,12.4,Sample_3,True Sample
13.4,50,NA,50,13.4,Sample_50,True Sample
13.4,45,9.5,45,11.45,Sample_45,True Sample
14.6,31,11.7,31,13.15,Sample_31,True Sample
10.2,79,NA,79,10.2,Sample_79,True Sample
11.3,49,9.3,49,10.3,Sample_49,True Sample
12.6,71,7.3,71,9.95,Sample_71,True Sample
6,23,6.1,23,6.05,Sample_23,True Sample
9.9,96,NA,96,9.9,Sample_96,True Sample
12.3,47,4.7,47,8.5,Sample_47,True Sample
12.2,29,11.4,29,11.8,Sample_29,True Sample
14.3,34,NA,34,14.3,Sample_34,True Sample
12.4,91,10.1,91,11.25,Sample_91,True Sample
10.2,43,10.1,43,10.15,Sample_43,True Sample
10.6,46,10.1,46,10.35,Sample_46,True Sample
12.1,81,3.5,81,7.8,Sample_81,True Sample
12.4,42,5,42,8.7,Sample_42,True Sample
1.2,BL_6,NA,BL_6,1.2,Sample_BL_6,Control Sample
9.7,55,NA,55,9.7,Sample_55,True Sample
9.4,33,13.1,33,11.25,Sample_33,True Sample
#DIV/0!,PCN_2,#DIV/0!,PCN_2,0.05,Sample_PCN_2,Control Sample
9.7,72,9.4,72,9.55,Sample_72,True Sample
9.4,2,9.7,2,9.55,Sample_2,True Sample
9.8,63,6.8,63,8.3,Sample_63,True Sample
10.6,37,8,37,9.3,Sample_37,True Sample
12.7,52,4.1,52,8.4,Sample_52,True Sample
14.1,15,6.8,15,10.45,Sample_15,True Sample
10.8,65,3.1,65,6.95,Sample_65,True Sample
11.8,10,11.8,10,11.8,Sample_10,True Sample
8.2,86,7.7,86,7.95,Sample_86,True Sample
10.3,83,7.5,83,8.9,Sample_83,True Sample
13.8,13,11.5,13,12.65,Sample_13,True Sample
16.9,66,5,66,10.95,Sample_66,True Sample
12.4,32,9.4,32,10.9,Sample_32,True Sample
13.5,7,4.5,7,9,Sample_7,True Sample
#DIV/0!,PCN_4,#DIV/0!,PCN_4,0.05,Sample_PCN_4,Control Sample
10.5,89,10.2,89,10.35,Sample_89,True Sample
9.7,60,9.1,60,9.4,Sample_60,True Sample
15.4,51,8.3,51,11.85,Sample_51,True Sample
15.9,24,11.2,24,13.55,Sample_24,True Sample
14.6,30,3.8,30,9.2,Sample_30,True Sample
15,19,4.7,19,9.85,Sample_19,True Sample
14.6,69,8.3,69,11.45,Sample_69,True Sample
11.6,26,3.4,26,7.5,Sample_26,True Sample
11.1,4,9.1,4,10.1,Sample_4,True Sample
0.1,BL_5,#DIV/0!,BL_5,0.1,Sample_BL_5,Control Sample
16.5,11,11.1,11,13.8,Sample_11,True Sample
14.8,28,16,28,15.4,Sample_28,True Sample
13.7,58,13.6,58,13.65,Sample_58,True Sample
12.9,48,12.3,48,12.6,Sample_48,True Sample
9.7,6,0.1,6,4.9,Sample_6,True Sample
12,61,16.2,61,14.1,Sample_61,True Sample
12.1,95,14,95,13.05,Sample_95,True Sample
14.4,77,10.9,77,12.65,Sample_77,True Sample
12.8,44,12.6,44,12.7,Sample_44,True Sample
#DIV/0!,PCN_6,#DIV/0!,PCN_6,0.05,Sample_PCN_6,Control Sample
1.1,BL_3,0.6,BL_3,0.85,Sample_BL_3,Control Sample
11,62,13.4,62,12.2,Sample_62,True Sample
11.7,22,13.8,22,12.75,Sample_22,True Sample
10.9,68,12,68,11.45,Sample_68,True Sample
9.5,9,9.1,9,9.3,Sample_9,True Sample
13.5,90,7.8,90,10.65,Sample_90,True Sample
11.2,35,7.3,35,9.25,Sample_35,True Sample
10.6,82,5,82,7.8,Sample_82,True Sample
#DIV/0!,PCN_7,#DIV/0!,PCN_7,0.05,Sample_PCN_7,Control Sample
7.7,64,7,64,7.35,Sample_64,True Sample
8.7,67,7.3,67,8,Sample_67,True Sample
13.8,20,11.3,20,12.55,Sample_20,True Sample
15,74,13.7,74,14.35,Sample_74,True Sample
12.7,93,11.9,93,12.3,Sample_93,True Sample
10.2,88,12.2,88,11.2,Sample_88,True Sample
8.1,27,17.3,27,12.7,Sample_27,True Sample
9,16,14.3,16,11.65,Sample_16,True Sample
9.8,70,14.1,70,11.95,Sample_70,True Sample
#DIV/0!,PCN_5,#DIV/0!,PCN_5,0.05,Sample_PCN_5,Control Sample
13.9,56,12.2,56,13.05,Sample_56,True Sample
11.4,38,12.4,38,11.9,Sample_38,True Sample
9.7,78,11.2,78,10.45,Sample_78,True Sample
#DIV/0!,PCN_8,#DIV/0!,PCN_8,0.05,Sample_PCN_8,Control Sample
8.8,57,11.7,57,10.25,Sample_57,True Sample
10.7,80,13,80,11.85,Sample_80,True Sample
14.2,5,7.1,5,10.65,Sample_5,True Sample
13.2,17,7.2,17,10.2,Sample_17,True Sample
12.1,75,3.6,75,7.85,Sample_75,True Sample
10,59,7.4,59,8.7,Sample_59,True Sample
9.7,84,11,84,10.35,Sample_84,True Sample
9.2,12,5.7,12,7.45,Sample_12,True Sample
13.8,39,12.2,39,13,Sample_39,True Sample
13.5,92,12.5,92,13,Sample_92,True Sample
12.1,8,12.6,8,12.35,Sample_8,True Sample
0.4,BL_4,0.8,BL_4,0.6,Sample_BL_4,Control Sample
12.5,36,16.7,36,14.6,Sample_36,True Sample
11.2,53,15.4,53,13.3,Sample_53,True Sample
