Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
ASV_1,ASV_1,,5,0.310526,0.364548,506.827981,4
ASV_10,ASV_10,,6,0.358663,0.439548,1300.96326,7
ASV_100,ASV_100,,6,0.287805,0.325989,299.749792,2
ASV_101,ASV_101,,0,0,0,0,0
ASV_102,ASV_102,,7,0.272517,0.306154,84.823701,2
ASV_104,ASV_104,,8,0.221805,0.247044,39.409524,2
ASV_105,ASV_105,,6,0.293532,0.329661,119.835628,9
ASV_107,ASV_107,,7,0.293532,0.336663,208.161401,4
ASV_108,ASV_108,,0,0,0,0,1
ASV_11,ASV_11,,5,0.365325,0.430508,1455.634377,5
ASV_111,ASV_111,,8,0.221805,0.248961,0,12
ASV_114,ASV_114,,8,0.214545,0.241778,31.107143,2
ASV_119,ASV_119,,7,0.282974,0.332425,372.092112,12
ASV_12,ASV_12,,7,0.308094,0.368584,234.910189,7
ASV_120,ASV_120,,7,0.241309,0.270702,132.667857,2
ASV_121,ASV_121,,7,0.229572,0.262389,32.015304,4
ASV_125,ASV_125,,7,0.271264,0.313923,208.028738,9
ASV_126,ASV_126,,8,0.255965,0.289417,104.051304,12
ASV_127,ASV_127,,10,0.141657,0.154247,0,3
ASV_13,ASV_13,,6,0.312997,0.361299,718.992192,3
ASV_131,ASV_131,,10,0.182946,0.208902,26.994048,2
ASV_132,ASV_132,,8,0.222642,0.260462,38.00202,6
ASV_133,ASV_133,,8,0.252677,0.287581,52.179737,5
ASV_138,ASV_138,,7,0.265766,0.320299,255.277675,4
ASV_139,ASV_139,,7,0.260486,0.298951,151.63238,6
ASV_14,ASV_14,,6,0.296482,0.342797,239.809378,5
ASV_140,ASV_140,,6,0.247379,0.281497,163.719651,4
ASV_141,ASV_141,,7,0.240326,0.262651,0,12
ASV_142,ASV_142,,9,0.202749,0.232247,96.521825,2
ASV_146,ASV_146,,8,0.218924,0.246015,64.912514,4
ASV_148,ASV_148,,7,0.212613,0.239124,80.71259,9
ASV_15,ASV_15,,6,0.237425,0.260452,0,4
ASV_150,ASV_150,,7,0.270023,0.310331,167.476566,5
ASV_151,ASV_151,,7,0.248421,0.284968,255.072466,2
ASV_154,ASV_154,,8,0.210339,0.244582,127.608473,9
ASV_155,ASV_155,,8,0.255965,0.289558,88.297026,9
ASV_159,ASV_159,,8,0.220149,0.249627,16.127656,4
ASV_16,ASV_16,,7,0.27896,0.317736,80.534102,5
ASV_161,ASV_161,,9,0.237425,0.276597,146.305731,9
ASV_167,ASV_167,,6,0.278302,0.311864,104.767553,5
ASV_169,ASV_169,,7,0.252677,0.293442,168.396351,6
ASV_17,ASV_17,,8,0.262806,0.298598,49.147592,7
ASV_171,ASV_171,,7,0.278302,0.319572,6.558669,7
ASV_173,ASV_173,,8,0.199324,0.217827,0,2
ASV_178,ASV_178,,9,0.187599,0.204846,0,9
ASV_179,ASV_179,,8,0.218924,0.250373,72.929783,12
ASV_18,ASV_18,,8,0.251599,0.290547,304.415476,2
ASV_180,ASV_180,,8,0.220974,0.247266,30.499477,12
ASV_182,ASV_182,,6,0.266366,0.310452,91.489788,4
ASV_185,ASV_185,,0,0,0,0,8
ASV_186,ASV_186,,7,0.289216,0.332708,284.178086,9
ASV_187,ASV_187,,8,0.207746,0.236592,18.756981,5
ASV_188,ASV_188,,8,0.217311,0.246297,41.700641,2
ASV_189,ASV_189,,8,0.274419,0.313711,127.60954,9
ASV_19,ASV_19,,8,0.240816,0.27277,68.728427,7
ASV_190,ASV_190,,8,0.25431,0.30114,140.218939,9
ASV_195,ASV_195,,7,0.213768,0.248043,31.715314,6
