Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub
ASV100,ASV100,,4,0.36561,0.390048,596.208791,1,0.047761,0.047761
ASV1001,ASV1001,,4,0.358252,0.379347,323.348412,2,0.03297,0.03297
ASV1002,ASV1002,,5,0.301257,0.317737,35.92047,6,0.010729,0.010729
ASV1003,ASV1003,,4,0.364541,0.38764,581.946027,4,0.032984,0.032984
ASV1005,ASV1005,,4,0.320969,0.338684,133.577627,3,0.012595,0.012595
ASV101,ASV101,,4,0.377576,0.405297,835.504654,8,0.060861,0.060861
ASV1018,ASV1018,,4,0.344961,0.365704,361.556483,5,0.01892,0.018919
ASV1025,ASV1025,,4,0.352775,0.378277,464.572373,4,0.036407,0.036406
ASV1029,ASV1029,,4,0.363265,0.387373,547.530843,4,0.034563,0.034563
ASV103,ASV103,,4,0.364968,0.388042,372.845794,7,0.042266,0.042267
ASV1036,ASV1036,,4,0.359078,0.383494,567.300364,6,0.042291,0.042292
ASV104,ASV104,,4,0.370833,0.395666,718.360461,6,0.042394,0.042395
ASV1040,ASV1040,,4,0.356407,0.377207,448.902245,6,0.026437,0.026438
ASV1050,ASV1050,,4,0.335668,0.353264,233.227876,8,0.013399,0.013399
ASV1053,ASV1053,,4,0.350197,0.371455,269.899212,4,0.025851,0.025851
ASV1059,ASV1059,,4,0.358664,0.380685,304.322348,6,0.033798,0.033799
ASV106,ASV106,,4,0.383857,0.414125,1311.456292,6,0.064573,0.064574
ASV1077,ASV1077,,4,0.361999,0.386437,611.586179,4,0.034292,0.034292
ASV108,ASV108,,4,0.375527,0.401819,643.43462,6,0.063817,0.063818
ASV109,ASV109,,4,0.375075,0.400883,773.862813,0,0.046172,0.046172
ASV11,ASV11,,4,0.383149,0.409176,886.808393,1,0.062082,0.062082
ASV110,ASV110,,4,0.375527,0.400883,778.241142,2,0.050512,0.050512
ASV111,ASV111,,4,0.37395,0.39794,630.405349,3,0.052329,0.052329
ASV112,ASV112,,4,0.37194,0.396602,711.021553,1,0.046384,0.046384
ASV113,ASV113,,4,0.342308,0.363296,302.240299,6,0.02307,0.02307
ASV116,ASV116,,4,0.379647,0.404361,917.223088,6,0.042858,0.042859
ASV1166,ASV1166,,4,0.332621,0.350187,210.0039,5,0.014701,0.014701
ASV118,ASV118,,4,0.319487,0.336142,163.497819,3,0.010886,0.010886
ASV119,ASV119,,4,0.379878,0.407571,882.732264,1,0.071346,0.071346
ASV12,ASV12,,4,0.373725,0.399679,644.790638,4,0.055788,0.055787
ASV120,ASV120,,4,0.380807,0.407571,796.643109,6,0.058676,0.058677
ASV121,ASV121,,4,0.371275,0.397138,552.759163,0,0.060831,0.060832
ASV122,ASV122,,4,0.366902,0.392456,757.475463,4,0.047331,0.04733
ASV123,ASV123,,4,0.368639,0.391921,642.334915,6,0.032163,0.032163
ASV124,ASV124,,4,0.363054,0.386437,348.784585,4,0.041248,0.041247
ASV125,ASV125,,4,0.350394,0.368513,277.50429,7,0.018756,0.018756
ASV126,ASV126,,4,0.365182,0.390182,506.634234,3,0.05198,0.051981
ASV127,ASV127,,4,0.367335,0.389914,656.468488,0,0.032759,0.032759
ASV129,ASV129,,4,0.352775,0.372258,250.345392,4,0.025495,0.025495
ASV13,ASV13,,4,0.372831,0.39794,746.426533,6,0.049378,0.049379
ASV133,ASV133,,4,0.320473,0.337346,105.122755,1,0.012284,0.012284
ASV134,ASV134,,4,0.349803,0.369181,214.949029,8,0.0293,0.0293
ASV135,ASV135,,4,0.370833,0.394997,713.191847,7,0.04243,0.04243
ASV136,ASV136,,4,0.382209,0.410112,851.571821,6,0.066897,0.066898
ASV138,ASV138,,4,0.373501,0.397271,582.673461,1,0.043768,0.043768
ASV141,ASV141,,4,0.373725,0.399545,582.898185,3,0.059812,0.059812
ASV142,ASV142,,4,0.375527,0.400348,793.222012,1,0.042621,0.042621
ASV143,ASV143,,4,0.367986,0.391386,444.992419,1,0.043528,0.043528
