Id,Label,timeset,Polygon,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
ASV_1_F,ASV_1_F,,3,2,4,0.381665,0.403907,838.702331
ASV_100_F,ASV_100_F,,3,2,4,0.395683,0.42177,1334.334798
ASV_102_F,ASV_102_F,,3,1,4,0.388331,0.411722,706.807332
ASV_104_F,ASV_104_F,,3,6,4,0.385041,0.408214,716.774703
ASV_105_F,ASV_105_F,,3,0,4,0.373214,0.394099,459.56725
ASV_106_F,ASV_106_F,,3,3,3,0.389925,0.414833,1183.589531
ASV_107_F,ASV_107_F,,3,4,4,0.381387,0.402791,828.572856
ASV_11_F,ASV_11_F,,3,2,4,0.386036,0.40933,743.332169
ASV_111_F,ASV_111_F,,3,2,4,0.376848,0.397767,652.601077
ASV_112_F,ASV_112_F,,3,3,4,0.366538,0.38445,285.232155
ASV_116_F,ASV_116_F,,3,4,4,0.408363,0.436443,1886.018599
ASV_117_F,ASV_117_F,,3,6,4,0.401306,0.426715,1144.767472
ASV_119_F,ASV_119_F,,3,1,4,0.381526,0.40327,711.852323
ASV_12_F,ASV_12_F,,3,3,4,0.361842,0.378628,309.793018
ASV_120_F,ASV_120_F,,3,3,4,0.379448,0.400558,469.805109
ASV_121_F,ASV_121_F,,3,5,3,0.393005,0.417544,1065.814413
ASV_122_F,ASV_122_F,,3,1,3,0.388765,0.412281,801.078378
ASV_124_F,ASV_124_F,,3,3,4,0.398703,0.424322,1136.552179
ASV_127_F,ASV_127_F,,3,0,3,0.391826,0.416268,826.11044
ASV_129_F,ASV_129_F,,3,0,3,0.40551,0.431898,1213.364279
ASV_13_F,ASV_13_F,,3,3,4,0.390654,0.416348,1215.127774
ASV_132_F,ASV_132_F,,3,5,4,0.382644,0.404864,751.452927
ASV_135_F,ASV_135_F,,3,5,4,0.394042,0.419059,1105.655401
ASV_136_F,ASV_136_F,,3,1,3,0.395534,0.420255,1053.589031
ASV_138_F,ASV_138_F,,3,5,3,0.410932,0.438596,1823.864898
ASV_139_F,ASV_139_F,,3,5,3,0.410126,0.436842,1488.892931
ASV_14_F,ASV_14_F,,3,4,3,0.401152,0.426475,1210.672603
ASV_141_F,ASV_141_F,,3,2,4,0.393301,0.418421,853.695547
ASV_142_F,ASV_142_F,,3,6,4,0.383909,0.40614,690.180851
ASV_143_F,ASV_143_F,,3,4,4,0.358368,0.374242,340.799492
ASV_144_F,ASV_144_F,,3,1,3,0.397641,0.422488,968.70845
ASV_145_F,ASV_145_F,,3,4,3,0.388476,0.411962,960.271044
ASV_146_F,ASV_146_F,,3,1,3,0.385324,0.408134,729.156265
ASV_148_F,ASV_148_F,,3,0,4,0.375224,0.395933,501.517372
ASV_149_F,ASV_149_F,,3,1,4,0.372682,0.392982,550.196557
ASV_15_F,ASV_15_F,,3,3,4,0.387324,0.410845,764.275194
ASV_150_F,ASV_150_F,,3,5,3,0.390071,0.413397,907.41867
ASV_152_F,ASV_152_F,,3,2,3,0.413534,0.441148,1647.513676
ASV_158_F,ASV_158_F,,3,4,4,0.343637,0.356061,166.222783
ASV_16_F,ASV_16_F,,3,3,4,0.382924,0.40638,789.005914
ASV_161_F,ASV_161_F,,3,3,4,0.382084,0.404785,638.361468
ASV_162_F,ASV_162_F,,3,1,4,0.379862,0.402313,699.64683
ASV_163_F,ASV_163_F,,3,1,3,0.412229,0.440191,1711.623207
ASV_165_F,ASV_165_F,,3,4,4,0.381109,0.402791,475.163635
ASV_166_F,ASV_166_F,,3,0,4,0.374016,0.395136,489.273108
ASV_168_F,ASV_168_F,,3,4,3,0.380692,0.402233,654.675591
ASV_169_F,ASV_169_F,,3,2,4,0.391093,0.414912,897.008222
ASV_171_F,ASV_171_F,,3,4,4,0.37712,0.397927,607.105066
ASV_172_F,ASV_172_F,,3,5,4,0.355442,0.371691,304.060192
ASV_173_F,ASV_173_F,,3,5,4,0.347522,0.364195,311.372794
ASV_174_F,ASV_174_F,,3,4,4,0.397944,0.424163,1160.644805
ASV_175_F,ASV_175_F,,3,4,4,0.359601,0.373844,182.634259
ASV_177_F,ASV_177_F,,3,0,3,0.397036,0.422488,1116.570251
ASV_179_F,ASV_179_F,,3,1,4,0.389344,0.414035,985.435121
ASV_18_F,ASV_18_F,,3,3,4,0.381526,0.404226,725.585044
ASV_182_F,ASV_182_F,,3,0,4,0.380554,0.402632,688.346208
ASV_184_F,ASV_184_F,,3,1,3,0.399923,0.425518,1130.159844
ASV_187_F,ASV_187_F,,3,4,3,0.394637,0.419298,962.813865
ASV_189_F,ASV_189_F,,3,4,4,0.39271,0.417305,846.456971
ASV_190_F,ASV_190_F,,3,6,4,0.373481,0.394338,563.966848
ASV_193_F,ASV_193_F,,3,6,3,0.384899,0.407337,679.998471
ASV_194_F,ASV_194_F,,3,0,4,0.381805,0.403668,607.239752
ASV_196_F,ASV_196_F,,3,5,4,0.379448,0.400877,673.1843
ASV_197_F,ASV_197_F,,3,5,4,0.359354,0.376475,343.194322
ASV_199_F,ASV_199_F,,3,0,4,0.390071,0.414115,854.332829
ASV_200_F,ASV_200_F,,3,4,4,0.402232,0.428309,1209.667624
ASV_201_F,ASV_201_F,,3,0,4,0.38,0.401276,497.929351
ASV_203_F,ASV_203_F,,3,4,3,0.372284,0.391069,509.399793
ASV_205_F,ASV_205_F,,3,4,4,0.361217,0.376954,239.267746
ASV_206_F,ASV_206_F,,3,5,4,0.381109,0.402472,531.833255
ASV_209_F,ASV_209_F,,3,0,4,0.387468,0.412281,975.189769
ASV_21_F,ASV_21_F,,3,2,4,0.39434,0.419697,964.279665
ASV_210_F,ASV_210_F,,3,0,4,0.376848,0.39697,460.076023
ASV_211_F,ASV_211_F,,3,2,4,0.388043,0.411563,991.904127
ASV_212_F,ASV_212_F,,3,2,3,0.385609,0.409091,779.579329
ASV_213_F,ASV_213_F,,3,2,3,0.398703,0.424242,1140.850933
ASV_214_F,ASV_214_F,,3,4,3,0.412066,0.439713,1758.240222
ASV_215_F,ASV_215_F,,3,5,4,0.352089,0.366906,198.551328
ASV_216_F,ASV_216_F,,3,5,4,0.38405,0.405901,552.677174
ASV_217_F,ASV_217_F,,3,0,3,0.408363,0.435088,1368.890047
ASV_218_F,ASV_218_F,,3,5,4,0.369781,0.388357,451.113652
ASV_219_F,ASV_219_F,,3,5,4,0.369519,0.387321,386.786667
ASV_221_F,ASV_221_F,,3,7,3,0.391679,0.415152,727.076546
ASV_225_F,ASV_225_F,,3,5,4,0.376577,0.396571,518.894342
ASV_226_F,ASV_226_F,,3,3,3,0.38718,0.410526,754.068445
ASV_227_F,ASV_227_F,,3,0,4,0.381248,0.402951,585.521024
ASV_228_F,ASV_228_F,,3,5,3,0.403787,0.430781,1413.502857
ASV_229_F,ASV_229_F,,3,0,4,0.394191,0.419936,1048.653684
ASV_23_F,ASV_23_F,,3,0,3,0.404099,0.430781,1269.111515
