Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Degree,Polygon
ASV_1_F,ASV_1_F,,4,0.375677,0.396013,645.862654,2,19,3
ASV_100_F,ASV_100_F,,4,0.395216,0.42131,1377.241666,0,30,3
ASV_102_F,ASV_102_F,,4,0.384133,0.40658,584.034128,5,21,3
ASV_104_F,ASV_104_F,,4,0.384275,0.407461,749.613183,5,23,3
ASV_105_F,ASV_105_F,,4,0.372584,0.393292,493.004141,2,21,3
ASV_106_F,ASV_106_F,,4,0.388578,0.413465,1266.592818,6,28,3
ASV_107_F,ASV_107_F,,4,0.379097,0.399856,760.006146,0,19,3
ASV_11_F,ASV_11_F,,4,0.383567,0.40634,739.299451,2,23,3
ASV_111_F,ASV_111_F,,4,0.376492,0.397374,677.060935,1,20,3
ASV_112_F,ASV_112_F,,4,0.363605,0.380403,253.472905,5,14,3
ASV_116_F,ASV_116_F,,4,0.403958,0.431476,1740.399473,4,33,3
ASV_117_F,ASV_117_F,,4,0.404743,0.430916,1413.519283,4,29,3
ASV_119_F,ASV_119_F,,4,0.380343,0.402017,753.554396,1,21,3
ASV_12_F,ASV_12_F,,4,0.361458,0.378322,322.396324,4,14,3
ASV_120_F,ASV_120_F,,4,0.378821,0.399936,485.095761,4,19,3
ASV_121_F,ASV_121_F,,3,0.38945,0.413385,998.694352,7,25,3
ASV_122_F,ASV_122_F,,3,0.391353,0.415466,907.912511,5,25,3
ASV_124_F,ASV_124_F,,4,0.400077,0.426113,1265.065449,4,29,3
ASV_127_F,ASV_127_F,,3,0.390619,0.414986,880.122935,3,26,3
ASV_129_F,ASV_129_F,,3,0.401311,0.426993,1125.726101,2,28,3
ASV_13_F,ASV_13_F,,4,0.390034,0.415946,1276.381332,4,30,3
ASV_132_F,ASV_132_F,,4,0.380622,0.402257,744.624937,6,21,3
ASV_135_F,ASV_135_F,,4,0.392238,0.417227,1186.793662,5,27,3
ASV_136_F,ASV_136_F,,4,0.391648,0.415546,907.424994,7,24,3
ASV_138_F,ASV_138_F,,3,0.408075,0.435479,1842.711775,3,33,3
