Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
ASV_1,ASV_1,,5,0.336406,0.36895,571.756173,6
ASV_100,ASV_100,,6,0.300103,0.325228,122.394735,6
ASV_102,ASV_102,,5,0.314995,0.342295,213.804237,0
ASV_104,ASV_104,,5,0.335247,0.36621,553.456395,2
ASV_105,ASV_105,,5,0.319126,0.349658,190.499881,4
ASV_106,ASV_106,,5,0.345154,0.377683,408.564257,3
ASV_11,ASV_11,,6,0.316017,0.34395,195.905564,0
ASV_111,ASV_111,,5,0.26789,0.286986,62.375398,8
ASV_112,ASV_112,,5,0.311966,0.340982,165.040025,7
ASV_116,ASV_116,,5,0.359164,0.397374,723.210635,1
ASV_117,ASV_117,,6,0.337572,0.369406,464.023897,1
ASV_119,ASV_119,,6,0.317737,0.346005,162.911003,0
ASV_12,ASV_12,,6,0.340723,0.373059,249.369632,3
ASV_120,ASV_120,,6,0.335247,0.367123,233.514822,3
ASV_121,ASV_121,,5,0.31843,0.346575,268.48338,5
ASV_122,ASV_122,,6,0.331442,0.359989,186.849672,0
ASV_124,ASV_124,,5,0.358722,0.398801,1079.302972,1
ASV_127,ASV_127,,5,0.337572,0.369121,364.150474,9
ASV_129,ASV_129,,6,0.339141,0.371404,391.908504,0
ASV_13,ASV_13,,5,0.371029,0.410502,1026.403547,7
ASV_132,ASV_132,,6,0.306723,0.331164,206.769057,7
ASV_135,ASV_135,,6,0.291417,0.311758,31.253005,5
ASV_136,ASV_136,,6,0.278095,0.297317,54.255952,2
ASV_138,ASV_138,,5,0.317047,0.340696,148.610701,5
ASV_139,ASV_139,,6,0.288538,0.309075,16.77837,3
ASV_14,ASV_14,,5,0.342723,0.374943,453.643341,6
ASV_141,ASV_141,,5,0.302277,0.327112,145.529866,1
ASV_142,ASV_142,,6,0.281039,0.307078,167.512137,6
ASV_143,ASV_143,,6,0.358722,0.398516,710.019982,1
ASV_144,ASV_144,,5,0.325167,0.351941,195.128771,1
ASV_145,ASV_145,,6,0.295846,0.319349,188.038891,9
ASV_146,ASV_146,,6,0.358722,0.397945,599.325988,0
ASV_148,ASV_148,,7,0.288823,0.310706,14.005965,0
ASV_149,ASV_149,,6,0.331442,0.364269,244.335233,0
ASV_15,ASV_15,,6,0.324805,0.356906,153.369812,0
ASV_150,ASV_150,,5,0.332953,0.362557,260.657033,7
ASV_152,ASV_152,,5,0.325893,0.357249,434.521542,5
ASV_158,ASV_158,,5,0.275732,0.299201,66.0181,6
ASV_16,ASV_16,,5,0.371501,0.416039,1194.280177,3
ASV_161,ASV_161,,5,0.35012,0.383961,444.126606,4
ASV_162,ASV_162,,6,0.351384,0.387957,506.691204,0
ASV_163,ASV_163,,6,0.357405,0.393664,729.136852,0
ASV_165,ASV_165,,6,0.290837,0.313299,62.103625,5
ASV_166,ASV_166,,5,0.32553,0.356792,244.726956,4
ASV_168,ASV_168,,5,0.284047,0.307363,217.886963,9
ASV_169,ASV_169,,5,0.314316,0.340525,257.647093,9
ASV_171,ASV_171,,6,0.297959,0.325285,230.834855,7
ASV_172,ASV_172,,6,0.311301,0.3371,231.074733,8
ASV_173,ASV_173,,6,0.342321,0.3754,504.862322,1
ASV_174,ASV_174,,5,0.293763,0.317066,153.861953,9
ASV_175,ASV_175,,6,0.310308,0.341267,296.489508,6
ASV_177,ASV_177,,5,0.324805,0.354395,334.023441,4
ASV_179,ASV_179,,5,0.349701,0.389384,657.632569,3
ASV_18,ASV_18,,5,0.36409,0.406221,1229.596535,3
ASV_182,ASV_182,,5,0.307692,0.335674,299.157316,1
ASV_184,ASV_184,,5,0.336794,0.369406,218.990733,0
ASV_187,ASV_187,,5,0.282126,0.301313,7.0395,3
ASV_189,ASV_189,,5,0.365915,0.403368,937.653119,9
ASV_190,ASV_190,,6,0.288538,0.312043,68.96534,4
ASV_193,ASV_193,,7,0.271375,0.290501,42.412524,2
ASV_194,ASV_194,,5,0.335632,0.369178,542.590661,3
ASV_196,ASV_196,,5,0.338747,0.373231,554.386865,3
ASV_197,ASV_197,,5,0.319475,0.348116,358.171814,7
ASV_199,ASV_199,,5,0.338747,0.369121,305.362104,4
ASV_200,ASV_200,,6,0.294949,0.31992,96.324429,5
ASV_201,ASV_201,,5,0.28023,0.298916,64.918843,8
ASV_203,ASV_203,,6,0.272642,0.293607,98.535479,0
ASV_205,ASV_205,,5,0.284323,0.303881,88.381158,9
ASV_206,ASV_206,,5,0.329571,0.360959,471.328928,4
ASV_208,ASV_208,,6,0.308995,0.335217,96.13866,6
ASV_209,ASV_209,,5,0.35054,0.390639,719.967608,4
ASV_21,ASV_21,,6,0.356098,0.393664,670.561537,0
ASV_210,ASV_210,,6,0.296748,0.322546,276.872967,9
ASV_211,ASV_211,,5,0.333714,0.36524,355.738987,0
ASV_212,ASV_212,,5,0.336406,0.365811,200.93712,1
ASV_213,ASV_213,,5,0.342321,0.373116,328.805155,2
ASV_214,ASV_214,,5,0.311966,0.338071,165.579807,5
ASV_215,ASV_215,,6,0.311633,0.340068,192.908787,8
ASV_216,ASV_216,,5,0.287402,0.30839,124.86228,8
ASV_217,ASV_217,,4,0.335247,0.363299,331.061971,1
ASV_218,ASV_218,,5,0.313978,0.343208,319.511013,9
ASV_219,ASV_219,,6,0.314995,0.347546,564.33745,8
ASV_221,ASV_221,,6,0.325893,0.35411,221.630334,5
ASV_225,ASV_225,,6,0.28023,0.302568,105.359796,7
ASV_226,ASV_226,,6,0.363184,0.402226,545.699921,1
ASV_227,ASV_227,,6,0.312969,0.338927,91.283671,3
ASV_228,ASV_228,,5,0.342723,0.37597,751.175307,2
ASV_229,ASV_229,,5,0.326622,0.357021,230.894389,4
ASV_23,ASV_23,,5,0.363184,0.400514,873.659462,1
ASV_230,ASV_230,,6,0.298569,0.327112,209.984063,6
ASV_232,ASV_232,,5,0.346793,0.381393,417.306389,1
ASV_235,ASV_235,,5,0.277303,0.298573,48.643533,4
ASV_237,ASV_237,,5,0.343126,0.375514,446.207756,9
ASV_238,ASV_238,,5,0.311633,0.338642,202.210793,6
ASV_24,ASV_24,,6,0.343126,0.374543,433.190898,1
ASV_240,ASV_240,,5,0.323367,0.353482,418.179731,8
ASV_242,ASV_242,,5,0.349701,0.384532,683.179045,8
ASV_243,ASV_243,,5,0.30608,0.331735,210.146493,9
ASV_245,ASV_245,,6,0.294652,0.318265,48.364276,4
ASV_249,ASV_249,,5,0.321586,0.3504,313.298457,9
ASV_250,ASV_250,,5,0.321232,0.351655,384.412363,6
ASV_251,ASV_251,,5,0.293173,0.31621,178.539438,6
ASV_252,ASV_252,,5,0.332196,0.367637,401.661098,1
ASV_254,ASV_254,,5,0.32194,0.348516,169.546445,1
ASV_256,ASV_256,,5,0.317047,0.347774,367.368661,6
ASV_257,ASV_257,,5,0.32553,0.351084,279.516339,1
ASV_258,ASV_258,,6,0.276515,0.301541,65.580778,6
ASV_259,ASV_259,,6,0.32553,0.353653,361.563495,2
ASV_26,ASV_26,,5,0.366834,0.401484,669.121043,1
ASV_260,ASV_260,,4,0.343934,0.380708,838.789631,6
ASV_261,ASV_261,,5,0.313305,0.340582,288.649064,4
ASV_262,ASV_262,,5,0.322296,0.352626,503.060788,7
ASV_264,ASV_264,,5,0.311966,0.342466,445.388836,4
ASV_265,ASV_265,,6,0.28023,0.299429,26.139804,9
ASV_266,ASV_266,,5,0.332574,0.364783,585.008306,9
ASV_268,ASV_268,,6,0.295547,0.319463,181.087079,4
ASV_27,ASV_27,,6,0.346793,0.381107,458.750325,3
ASV_271,ASV_271,,5,0.318777,0.348402,297.587889,6
ASV_273,ASV_273,,5,0.326257,0.355822,267.567507,6
ASV_274,ASV_274,,6,0.282126,0.303196,79.331636,9
ASV_276,ASV_276,,6,0.304484,0.332021,371.513858,7
ASV_277,ASV_277,,6,0.31843,0.346632,137.586996,0
ASV_28,ASV_28,,6,0.317391,0.33984,51.132432,0
ASV_280,ASV_280,,5,0.342723,0.3754,599.925961,7
ASV_281,ASV_281,,6,0.306723,0.334475,243.060438,1
ASV_282,ASV_282,,6,0.287685,0.308619,122.339074,8
ASV_283,ASV_283,,5,0.352657,0.384475,525.873146,7
ASV_285,ASV_285,,5,0.302905,0.330594,337.515136,7
ASV_287,ASV_287,,5,0.298874,0.324543,270.817176,8
ASV_289,ASV_289,,6,0.326622,0.356564,195.986298,0
ASV_293,ASV_293,,6,0.287402,0.306564,42.972931,1
ASV_296,ASV_296,,6,0.314995,0.341495,197.919467,5
ASV_299,ASV_299,,5,0.314655,0.344349,283.214126,6
ASV_30,ASV_30,,6,0.338747,0.371918,293.281015,3
ASV_302,ASV_302,,5,0.334862,0.366667,323.289587,3
ASV_303,ASV_303,,5,0.2846,0.308619,74.767848,6
ASV_304,ASV_304,,5,0.336406,0.366553,433.771642,7
ASV_305,ASV_305,,5,0.317047,0.348858,415.846594,6
ASV_307,ASV_307,,5,0.286555,0.308505,52.464168,5
ASV_308,ASV_308,,6,0.292292,0.317808,278.700195,7
ASV_31,ASV_31,,6,0.329571,0.362557,472.008602,0
ASV_311,ASV_311,,5,0.340326,0.373116,525.921343,9
ASV_313,ASV_313,,5,0.314316,0.345377,333.419176,4
ASV_314,ASV_314,,5,0.315335,0.34492,347.217172,8
ASV_317,ASV_317,,5,0.345154,0.3754,469.834655,7
ASV_319,ASV_319,,6,0.335247,0.36524,216.199025,3
ASV_32,ASV_32,,6,0.326257,0.356279,280.110145,3
ASV_321,ASV_321,,5,0.290837,0.313642,123.50739,6
ASV_322,ASV_322,,5,0.305439,0.330479,755.499254,6
ASV_324,ASV_324,,6,0.320527,0.349315,489.168091,8
ASV_325,ASV_325,,5,0.323367,0.349372,211.436679,9
ASV_326,ASV_326,,5,0.332574,0.360845,446.05978,4
ASV_327,ASV_327,,6,0.353939,0.39395,869.010949,0
ASV_33,ASV_33,,5,0.361386,0.397374,648.212029,1
ASV_330,ASV_330,,5,0.287119,0.314098,190.209603,6
ASV_331,ASV_331,,5,0.303219,0.328596,166.538684,9
ASV_332,ASV_332,,6,0.308342,0.331735,97.282813,2
ASV_333,ASV_333,,5,0.300103,0.324144,147.686698,0
ASV_335,ASV_335,,6,0.292292,0.313813,106.939201,2
ASV_336,ASV_336,,6,0.29705,0.322432,199.448104,9
ASV_339,ASV_339,,5,0.318083,0.34492,186.607594,9
ASV_34,ASV_34,,5,0.329571,0.357249,194.733999,9
ASV_340,ASV_340,,5,0.330691,0.363299,219.375469,0
ASV_341,ASV_341,,6,0.309979,0.338128,136.886835,4
ASV_342,ASV_342,,6,0.316017,0.341781,28.482549,1
ASV_343,ASV_343,,5,0.315676,0.346062,490.431744,9
ASV_345,ASV_345,,6,0.234538,0.247317,291,6
ASV_346,ASV_346,,5,0.327722,0.353253,240.436763,4
ASV_348,ASV_348,,6,0.273921,0.296861,81.571229,6
ASV_35,ASV_35,,6,0.340326,0.371804,323.278919,0
ASV_350,ASV_350,,5,0.279962,0.303539,161.475444,8
ASV_351,ASV_351,,5,0.302277,0.330023,320.508425,8
ASV_355,ASV_355,,5,0.279693,0.299715,68.533357,7
ASV_359,ASV_359,,6,0.335632,0.370377,724.143763,0
ASV_360,ASV_360,,4,0.349701,0.386701,793.388972,9
ASV_361,ASV_361,,5,0.30965,0.337842,357.007079,9
ASV_363,ASV_363,,5,0.319475,0.349658,303.396449,1
ASV_364,ASV_364,,6,0.301031,0.326826,135.890211,3
ASV_365,ASV_365,,6,0.324084,0.353539,222.577989,7
ASV_366,ASV_366,,5,0.327354,0.358904,660.983055,6
ASV_367,ASV_367,,6,0.327354,0.357534,313.344311,7
ASV_37,ASV_37,,6,0.331066,0.362386,278.124193,3
ASV_370,ASV_370,,4,0.337963,0.369578,347.077916,9
ASV_374,ASV_374,,6,0.298569,0.324886,168.809519,0
ASV_379,ASV_379,,5,0.277303,0.294977,28.617069,2
ASV_383,ASV_383,,6,0.26618,0.286872,63.715658,7
ASV_386,ASV_386,,6,0.308995,0.33847,324.397404,7
ASV_389,ASV_389,,6,0.2633,0.279852,5.074914,4
