ASV_ID,similarity,coverage,superkingdom,kingdom,phylum,class,order,family,genus,species
ASV_1,93.2,99.2,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Symbiochloris symbiontica
ASV_2,100,97.8,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Apatococcus,Apatococcus sp.
ASV_3,100,99.4,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Desmococcus,Desmococcus olivaceus
ASV_4,99.8,99.4,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Desmococcus,Desmococcus olivaceus
ASV_5,100,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Trebouxia decolorans
ASV_6,94.5,82.7,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Apatococcus,Apatococcus sp.
ASV_7,93,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Trebouxia sp.
ASV_8,91.1,97.8,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Apatococcus,Apatococcus sp.
ASV_9,100,99.3,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Apatococcus,Apatococcus sp.
ASV_10,95.8,82.9,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Apatococcus,Apatococcus sp.
ASV_11,99.1,82.8,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Apatococcus,Apatococcus sp.
ASV_12,99.8,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Trebouxia sp.
ASV_13,88.2,99.2,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Symbiochloris symbiontica
ASV_14,93.9,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Trebouxia sp.
ASV_15,93.4,99.2,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Symbiochloris symbiontica
ASV_16,100,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Asterochloris,Asterochloris gaertneri
ASV_17,100,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Dictyochloropsis symbiontica
ASV_18,100,95.1,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Trebouxia sp.
ASV_19,99.3,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,NA,NA,Coccomyxa,Coccomyxa sp.
ASV_21,98.4,98.4,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Dictyochloropsis,Dictyochloropsis splendida
ASV_22,100,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Trebouxia decolorans
ASV_23,89.3,99.2,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Symbiochloris symbiontica
ASV_24,95.2,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Trebouxia sp.
ASV_25,95.2,82.9,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Apatococcus,Apatococcus sp.
ASV_26,81.5,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Dictyochloropsis symbiontica
ASV_27,99.2,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Dictyochloropsis,Dictyochloropsis splendida
ASV_28,89,60.7,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Dictyochloropsis reticulata
ASV_29,93.2,36.3,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Symbiochloris symbiontica
ASV_30,97.5,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Trebouxia sp.
ASV_32,100,100,Eukaryota,Viridiplantae,Streptophyta,Klebsormidiophyceae,Klebsormidiales,Klebsormidiaceae,Interfilum,Interfilum paradoxum
ASV_33,99.1,100,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Diplosphaera,Diplosphaera chodatii
ASV_35,99.7,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Dictyochloropsis,Dictyochloropsis sp.
ASV_37,98.7,100,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Diplosphaera,Diplosphaera chodatii
ASV_39,82,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Dictyochloropsis symbiontica
ASV_40,92,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Dictyochloropsis,Dictyochloropsis sp.
ASV_41,88.6,76.5,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Apatococcus,Apatococcus sp.
ASV_42,92.2,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Dictyochloropsis,Dictyochloropsis sp.
ASV_43,93.2,36.4,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Symbiochloris symbiontica
ASV_45,98.7,100,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Diplosphaera,Diplosphaera chodatii
ASV_46,97.9,100,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Diplosphaera,Diplosphaera chodatii
ASV_47,99.1,100,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Diplosphaera,Diplosphaera chodatii
ASV_48,99.3,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Trebouxia,Trebouxia gelatinosa
ASV_49,100,100,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Diplosphaera,Diplosphaera sp.
ASV_53,91.9,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Dictyochloropsis,Dictyochloropsis sp.
ASV_57,83.1,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Dictyochloropsis,Dictyochloropsis splendida
ASV_59,100,92.4,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Symbiochloris,Dictyochloropsis reticulata
ASV_60,83.3,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Dictyochloropsis,Dictyochloropsis splendida
ASV_62,100,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Asterochloris,Asterochloris phycobiontica
ASV_64,91.9,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Dictyochloropsis,Dictyochloropsis sp.
ASV_66,99.8,99.3,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,NA,NA,Coccomyxa,Coccomyxa sp.
ASV_67,99.1,99.8,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Diplosphaera,Diplosphaera chodatii
ASV_68,100,100,Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Trebouxiaceae,Asterochloris,Asterochloris sp.
